query_id	doc_id	rank	score
10005	doc-9c8a0a64eefd6ce9	1	1.00000000
10005	doc-72ba35a72fed92d6	2	0.96609752
10005	doc-0081e300f0c5403c	3	0.89460958
10005	doc-04b6ab9d23c18151	4	0.87199390
10005	doc-dee6223b3990015e	5	0.85189472
10005	doc-afb540812c7b668b	6	0.83625453
10005	doc-f7722c0505e959c3	7	0.81538596
10005	doc-5d2bd393f1aa2dd7	8	0.78821608
10005	doc-b59612de6e7de22e	9	0.77546708
10005	doc-29bb6e3505e8cb1e	10	0.77084984
10005	doc-c83d009a3690a72f	11	0.77043632
10005	doc-78b2451976975730	12	0.75833171
10005	doc-72bc393db4b63d09	13	0.75424152
10005	doc-a6d7c36db2b9fc44	14	0.74384743
10005	doc-7a032428a3e9b53b	15	0.74009209
10005	doc-555085c66c6745a3	16	0.73434911
10005	doc-8df0484750f85409	17	0.73358512
10005	doc-afdd1eb8e179b8c0	18	0.73217882
10005	doc-ff5908f80fde40b7	19	0.72410243
10005	doc-befb0d84963f5ab6	20	0.70903997
10005	doc-9c6ffc8c9455b2c9	21	0.69541597
10005	doc-b10e178df21f9d44	22	0.68468640
10005	doc-02f312791c6dac9b	23	0.68397733
10005	doc-9785f9936104288c	24	0.68301580
10005	doc-263368468342e04f	25	0.68216293
10005	doc-d3f2c492d639b3ea	26	0.66958185
10005	doc-2d20028295cdadcd	27	0.66740786
10005	doc-2a9d2c0363aab0aa	28	0.66095843
10005	doc-3e7f8b736adab609	29	0.65188284
10005	doc-58f081264fec2480	30	0.64717509
10005	doc-6ec7f5faed90d6f9	31	0.63376923
10005	doc-de9f1a76beddefa5	32	0.63113810
10005	doc-648bdeb258291f32	33	0.62655744
10005	doc-b74f824b9bff1f8f	34	0.62620751
10005	doc-90d3b26e2f635f51	35	0.62594430
10005	doc-7ae9805397edaaa8	36	0.62167590
10005	doc-61ab00409dd34401	37	0.61939958
10005	doc-406612505a0b0b9f	38	0.61317307
10005	doc-9e21c3c4005b3045	39	0.60416640
10005	doc-6f83e7e8b96cef8e	40	0.59862313
10005	doc-5653d8ebd9c49f5b	41	0.58398430
10005	doc-31869dfad0455f70	42	0.58193732
10005	doc-6bfce5829aca6187	43	0.57714186
10005	doc-368d585e959425be	44	0.57650063
10005	doc-56692af771d1c18a	45	0.56943156
10005	doc-4710bbc7d191fa07	46	0.56916564
10005	doc-166a17809c28df2f	47	0.56580719
10005	doc-0cc75c1cd1e762f0	48	0.56279651
10005	doc-be8786dc770dcdda	49	0.55592661
10005	doc-e0b67ba97343829f	50	0.55323577
10005	doc-5631283746b4487a	51	0.55185639
10005	doc-757c194f020f514e	52	0.54482553
10005	doc-51e242b84d8d95d9	53	0.53851132
10005	doc-64a29d3fe4361bbf	54	0.53657579
10005	doc-85d8e85c8c989100	55	0.53616607
10005	doc-7e4425fcd0c03820	56	0.52579510
10005	doc-d0b1dd17b184c71c	57	0.51379761
10005	doc-2242399fb2d0fa30	58	0.51126503
10005	doc-62fdebafdfbaeeb7	59	0.50570776
10005	doc-46693ff451d479bf	60	0.49561075
10005	doc-cd78c4b91df10277	61	0.49065758
10005	doc-d3f9bca9c8f7e038	62	0.47996134
10005	doc-309c814d4ba7f736	63	0.47331816
10005	doc-0bdc29a62f6c7fc8	64	0.47052607
10005	doc-14c0a27f97c18e08	65	0.45993813
10005	doc-f5841a4f496dbda9	66	0.45698986
10005	doc-8852092f5a414531	67	0.45584958
10005	doc-8b6b6bbffde7d317	68	0.45272047
10005	doc-918d9ca1fc30b042	69	0.44313336
10005	doc-2603f2774de507c7	70	0.43481579
10005	doc-036fdbb06c478f12	71	0.43229395
10005	doc-1b890cdbb1fe2f6b	72	0.42742308
10005	doc-5e763a5323f3b22d	73	0.42635659
10005	doc-f952d93f49261451	74	0.42304602
10005	doc-93a0a9a95b2871d0	75	0.41588057
10005	doc-f17aaa54c8c1cd07	76	0.39977574
10005	doc-2128a4216d980fb0	77	0.38900525
10005	doc-6b145832e4c9fd1c	78	0.38532046
10005	doc-8550e39884f7980a	79	0.37861748
10005	doc-4d143f69ba4fd62f	80	0.37733077
10005	doc-ec51a0bf6e5de09d	81	0.37652099
10005	doc-78c12b84556bb09d	82	0.33479259
10005	doc-6f3c7c5898547879	83	0.33113255
10005	doc-ab73ac43b6251bb7	84	0.32670915
10005	doc-40e6b0a653dfbab4	85	0.32616647
10005	doc-491ad0d7a59984bd	86	0.31892623
10005	doc-9b4625f96a64ee0a	87	0.31441991
10005	doc-4e72fa5c1199271e	88	0.28527468
10005	doc-6717224309415d79	89	0.26756645
10005	doc-c3f766b0d2f27d98	90	0.26704689
10005	doc-522e3b5cdc936e76	91	0.26555560
10005	doc-c01e63b6735fbc8c	92	0.24477482
10005	doc-167395d44df300fe	93	0.22858327
10005	doc-b23378d73e714cb1	94	0.19537532
10005	doc-56568b6ac823c4cb	95	0.17581567
