query_id	doc_id	rank	score
10005	doc-90d3b26e2f635f51	1	0.73816101
10005	doc-9c8a0a64eefd6ce9	2	0.70000000
10005	doc-72ba35a72fed92d6	3	0.67626827
10005	doc-0081e300f0c5403c	4	0.62622671
10005	doc-04b6ab9d23c18151	5	0.61039573
10005	doc-dee6223b3990015e	6	0.59632631
10005	doc-afb540812c7b668b	7	0.58537817
10005	doc-f7722c0505e959c3	8	0.57077017
10005	doc-5d2bd393f1aa2dd7	9	0.55175126
10005	doc-b59612de6e7de22e	10	0.54282695
10005	doc-29bb6e3505e8cb1e	11	0.53959489
10005	doc-c83d009a3690a72f	12	0.53930542
10005	doc-78b2451976975730	13	0.53083219
10005	doc-72bc393db4b63d09	14	0.52796907
10005	doc-a6d7c36db2b9fc44	15	0.52069320
10005	doc-7a032428a3e9b53b	16	0.51806446
10005	doc-555085c66c6745a3	17	0.51404438
10005	doc-8df0484750f85409	18	0.51350959
10005	doc-afdd1eb8e179b8c0	19	0.51252518
10005	doc-ff5908f80fde40b7	20	0.50687170
10005	doc-befb0d84963f5ab6	21	0.49632798
10005	doc-9c6ffc8c9455b2c9	22	0.48679118
10005	doc-b10e178df21f9d44	23	0.47928048
10005	doc-02f312791c6dac9b	24	0.47878413
10005	doc-9785f9936104288c	25	0.47811106
10005	doc-263368468342e04f	26	0.47751405
10005	doc-d3f2c492d639b3ea	27	0.46870729
10005	doc-2d20028295cdadcd	28	0.46718550
10005	doc-2a9d2c0363aab0aa	29	0.46267090
10005	doc-3e7f8b736adab609	30	0.45631799
10005	doc-58f081264fec2480	31	0.45302256
10005	doc-6ec7f5faed90d6f9	32	0.44363846
10005	doc-de9f1a76beddefa5	33	0.44179667
10005	doc-648bdeb258291f32	34	0.43859021
10005	doc-b74f824b9bff1f8f	35	0.43834526
10005	doc-7ae9805397edaaa8	36	0.43517313
10005	doc-61ab00409dd34401	37	0.43357970
10005	doc-406612505a0b0b9f	38	0.42922115
10005	doc-9e21c3c4005b3045	39	0.42291648
10005	doc-6f83e7e8b96cef8e	40	0.41903619
10005	doc-5653d8ebd9c49f5b	41	0.40878901
10005	doc-31869dfad0455f70	42	0.40735612
10005	doc-6bfce5829aca6187	43	0.40399930
10005	doc-368d585e959425be	44	0.40355044
10005	doc-56692af771d1c18a	45	0.39860209
10005	doc-4710bbc7d191fa07	46	0.39841595
10005	doc-166a17809c28df2f	47	0.39606504
10005	doc-0cc75c1cd1e762f0	48	0.39395756
10005	doc-be8786dc770dcdda	49	0.38914863
10005	doc-e0b67ba97343829f	50	0.38726504
10005	doc-5631283746b4487a	51	0.38629947
10005	doc-757c194f020f514e	52	0.38137787
10005	doc-51e242b84d8d95d9	53	0.37695792
10005	doc-64a29d3fe4361bbf	54	0.37560305
10005	doc-85d8e85c8c989100	55	0.37531625
10005	doc-7e4425fcd0c03820	56	0.36805657
10005	doc-d0b1dd17b184c71c	57	0.35965833
10005	doc-2242399fb2d0fa30	58	0.35788552
10005	doc-62fdebafdfbaeeb7	59	0.35399543
10005	doc-46693ff451d479bf	60	0.34692752
10005	doc-cd78c4b91df10277	61	0.34346031
10005	doc-d3f9bca9c8f7e038	62	0.33597294
10005	doc-309c814d4ba7f736	63	0.33132271
10005	doc-0bdc29a62f6c7fc8	64	0.32936825
10005	doc-14c0a27f97c18e08	65	0.32195669
10005	doc-f5841a4f496dbda9	66	0.31989290
10005	doc-8852092f5a414531	67	0.31909470
10005	doc-8b6b6bbffde7d317	68	0.31690433
10005	doc-918d9ca1fc30b042	69	0.31019335
10005	doc-2603f2774de507c7	70	0.30437105
10005	doc-036fdbb06c478f12	71	0.30260577
10005	doc-1b890cdbb1fe2f6b	72	0.29919615
10005	doc-5e763a5323f3b22d	73	0.29844961
10005	doc-f952d93f49261451	74	0.29613221
